,Client 1,,Client 2,,Client 3,
Time,RT,STD,RT,STD,RT,STD
1380,15760,10404.35,17928,10571.68,17342,9969.5
1385,16991,9834.34,14941,8151.27,14452,8561.3
1390,15241,9668.42,17647,10086.43,17382,9873.75
1395,16725,8063.64,17038,21374.83,16688,20535.91
1400,16813,22718.66,18255,13036.96,16913,12005.58
1405,17119,8824.83,17716,9965.68,17429,10275.69
1410,17255,9339.85,18493,17379.36,17726,16126.54
1415,17692,17066.25,16860,6673.79,16475,9210.52
1420,16744,7779.53,17148,8458.2,16582,8038.96
1425,16635,8955.62,17321,9233.84,17010,8997.99
1430,16305,7754.43,16613,9041.51,16117,8674.4
1435,16501,8895.02,17190,8070.7,16963,8060.45
1440,16312,8153.88,16681,8060.67,15955,7945.99
1445,15985,7920.63,16058,7454.87,15806,7366.35
1450,15673,7760.68,16783,8558.32,15824,7690.98
1455,16252,8808.44,16932,9265.84,16304,8442.63
1460,17013,9405.58,16252,9213.22,16758,9242.67
1465,15538,8739.93,17574,13324.92,16116,11391.38
1470,17749,15434.36,17613,11734.69,17753,13724.74
1475,16796,8316.28,17247,8468.27,16436,8633.32
1480,16158,8538.34,17057,9115.39,16397,8628.65
1485,17432,8965.05,16565,9398.97,16807,8609.06
1490,15449,10061.36,16136,10764.75,15756,11470.95
1495,15498,9814.18,16091,7847.07,15233,7480.08
1500,16364,8355.83,17000,10315.54,16369,9107.01
1505,16518,10230.1,16726,8664.96,17012,9491.3
1510,15704,7858.46,16081,7697.72,15244,7436.44
1515,15879,9545.46,17087,13619.45,17039,13357.12
1520,16763,13219.64,16664,12110.55,15526,11449.77
1525,15943,11890.49,16404,9312.53,16285,9544.79
1530,15915,8646.89,16229,8102.31,15755,8133.13
1535,17017,11406.66,16440,12686.56,16542,12381.12
1540,15572,9479.16,16837,10308.71,16248,10179.94
1545,15750,10426.99,15683,9236.99,15185,9161.6
1550,17447,52331.25,17595,50808.12,17130,51070.39
1555,15881,9335.86,17639,11313.07,16843,10907.92
1560,16281,10476.26,16670,10986.24,16533,11196.19
1565,16444,10791.02,14861,8061.37,15384,7525.09
1570,12824,7673.05,13429,8329.46,12425,7460.89
1575,15266,9361.85,15730,13056.5,16271,12727.78
1580,14188,11743.21,15550,17808.05,14725,17541.31
1585,15914,17859.79,16735,8044.7,16142,7954.32
1590,15397,7494.63,15217,8473.62,15181,8264.16
1595,14605,8639.63,15702,8484.85,14923,8034.98
1600,15155,7910.99,15601,10169.89,15434,10432.61
1605,15372,10732.69,15521,9371.55,14700,9095.69
1610,14748,8719.24,15515,7932.69,15228,7701.15
1615,15550,7916.31,16561,8094.2,16143,7918.73
1620,16537,9424.44,16317,9615.18,15910,9452.28
1625,16118,11412.5,17081,11955,16034,11373.72
1630,15779,12296.92,17662,42650.95,18796,43934.95
1635,17755,45738.23,15912,27732.38,15221,26587.4
1640,13019,19247.65,13995,10060.25,13291,10585
1645,16075,10446.61,16848,7911.08,16211,8324.24
1650,15696,8074.07,15319,7050.1,14859,7080.21
1655,14834,6289.73,16377,8228.38,15653,7514.97
1660,15881,8557.19,16723,9489.49,15863,8248.12
1665,16252,9429.56,16120,8104.08,16252,9418.26
1670,15055,7424.37,16732,9243.47,15646,8007.95
1675,17816,10649.72,17072,8278.32,16992,9124.43
1680,15273,6759.07,15870,7554.48,15197,6890.2
1685,16728,27427.06,17443,27454.49,17040,27679.77
1690,16442,8650.08,16347,8982.61,15975,8692.35
1695,15091,8502.25,15904,11519.56,14909,7901.24
1700,15903,15326.9,14649,14754.97,16024,17645.66
1705,13699,11444.14,15424,11324.3,14073,8350.37
1710,15477,11236.82,17739,45873,17227,46218.58
1715,16044,43088.39,13585,8767.87,13667,8673.32
1720,13809,10396.35,15965,10339.54,14880,10025.77
1725,16273,8082.49,18428,24860.11,18129,24587.17
1730,17018,23881.01,15782,7695.45,15421,7647.21
1735,15550,8107.2,15639,14889.46,15601,14919.39
