,Client 1,Client 2,Client 3
Time,TPS,TPS,TPS
3365,4164,4353,4519
3370,4529,4550,4616
3375,4640,4123,4328
3380,4260,3777,3948
3385,3919,3791,3993
3390,3910,3789,3926
3395,3935,4273,4370
3400,4404,4008,4118
3405,4073,4065,4155
3410,4170,4071,4212
3415,4197,4320,4464
3420,4416,4180,4261
3425,4247,3964,4175
3430,4123,4023,4128
3435,4141,3866,3989
3440,3981,3759,3885
3445,3851,4003,4118
3450,4106,4039,4154
3455,4160,3791,3932
3460,3933,3922,4034
3465,4022,3971,4051
3470,4059,3821,3917
3475,3889,3861,4034
3480,4041,4022,3983
3485,3991,3932,4213
3490,4236,3614,3791
3495,3747,3943,4031
3500,4051,4354,4360
3505,4409,4107,4330
3510,4254,4213,4152
3515,4210,4121,4223
3520,4263,4116,4178
3525,4211,4219,4376
3530,4433,4443,4466
3535,4497,4351,4535
3540,4553,4325,4464
3545,4507,3996,4128
3550,4085,4335,4363
3555,4382,4294,4408
3560,4397,3810,4008
3565,3995,4432,4201
3570,4328,4365,4394
3575,4439,4327,4620
3580,4637,4409,4403
3585,4429,4515,4574
3590,4618,4247,4412
3595,4467,3824,4056
3600,4054,4396,4197
3605,4184,4117,4204
3610,4216,4266,4702
3615,4755,4330,4442
3620,4429,3959,3906
3625,3904,4168,4091
3630,4144,4103,4371
3635,4368,4080,4323
3640,4337,3875,3942
3645,3882,3671,3968
3650,3967,4699,4496
3655,4506,3852,4195
3660,4211,4592,4526
3665,4522,4365,4312
3670,4322,3985,4546
3675,4595,4284,3873
3680,3878,4383,4574
3685,4610,3948,4159
3690,4162,3711,3857
3695,3807,4025,4117
3700,4123,3843,3975
3705,3970,3845,4256
3710,4222,3910,3779
3715,3781,3764,3811
3720,3794,3778,3876
3725,3852,4064,4241
3730,4257,4059,4222
3735,4163,3844,3968
3740,3944,3954,4055
3745,4046,3751,4009
3750,3995,3862,3896
3755,3887,3776,3957
3760,3934,3862,3984
3765,3969,3773,3825
3770,3882,4246,4344
3775,4211,3921,4161
3780,4100,3753,3869
3785,3886,3997,4176
3790,4103,3938,4028
3795,4038,3766,3948
3800,3930,4364,4288
3805,4246,4249,4459
3810,4474,4281,4342
3815,4392,4016,4227
3820,4135,4026,4160
3825,4254,4084,4201
3830,4145,3755,3961
3835,3899,4348,4337
3840,4440,4386,4476
3845,4465,4092,4196
3850,4116,4166,4492
3855,4473,3880,3943
3860,3950,4614,4636
3865,4733,4542,4715
3870,4768,4024,4329
3875,4205,4057,4067
3880,4051,4416,4538
3885,4418,3726,3957
3890,4120,4464,4613
3895,4371,4175,4201
3900,4379,3978,4062
3905,4267,4593,4718
3910,4436,4188,4465
3915,4548,4270,4440
3920,4352,4556,4585
3925,4622,3941,4095
3930,4074,4759,4718
3935,4541,4330,4537
3940,4779,4119,4133
3945,4158,4381,4506
3950,4323,4126,4310
3955,4494,4090,4219
3960,4344,3691,3758
3965,3686,3735,4004
3970,3879,3815,3769
3975,3825,3868,4218
3980,4151,3885,3804
3985,3838,4043,4039
3990,3942,3925,4223
3995,4300,3832,3837
4000,3874,3924,4009
4005,3898,4376,4560
4010,4488,4049,4176
4015,4186,4013,4182
4020,4111,3927,4000
4025,3905,4075,4322
4030,4317,3965,4101
4035,4197,4143,4194
4040,4008,4134,4324
4045,4428,3958,4078
4050,4028,4348,4285
4055,4306,4160,4454
4060,4493,4327,4210
4065,4134,4107,4513
4070,4490,4271,4130
4075,4194,4379,4588
4080,4583,4220,4443
4085,4439,4049,4018
4090,4088,3920,4265
4095,4012,4022,4253
4100,4516,4683,4564
4105,4518,4244,4404
4110,4325,4270,4352
4115,4340,4066,4143
4120,4246,3481,3719
4125,3729,3508,3617
4130,3684,3999,4213
4135,4096,3704,3837
4140,3865,3824,4023
4145,3911,3864,4030
4150,3961,4007,4120
4155,4189,3414,4279
4160,4189,4417,3941
4165,4078,3559,3738
4170,3697,3802,3726
4175,3786,3594,3720
4180,3765,4094,4305
4185,4022,3788,3916
4190,4128,3796,3915
4195,4111,4332,3896
4200,3623,7146,6357
